t,Pxerr_Boris,Pxerr_RK4,Pxerr_SPPINN
24.799999999999997,0.016242112428977995,9.270557210783181e-09,6.034038967772659e-05
25.200000000000003,0.03278173141092333,6.847792333175562e-09,1.0638476276358944e-05
25.60000000000001,0.02813084342854666,2.2045268610604296e-08,5.343602569385375e-05
26.0,0.015404280862578723,3.217939137378778e-08,9.594452653738372e-05
26.400000000000006,0.010489686949066268,3.3853686520757265e-08,0.00010272465344085546
26.799999999999997,0.007953436757908161,3.327083231141614e-08,0.00010084877813865134
27.200000000000003,0.006382684911890202,3.18582524805322e-08,9.60652590071831e-05
27.60000000000001,0.00529681286848982,3.0074770229759906e-08,9.009051707575821e-05
28.0,0.004489397596847855,2.8185444644890367e-08,8.35798990763692e-05
28.400000000000006,0.0038569665718886093,2.6083031290369263e-08,7.682466682101818e-05
28.799999999999997,0.0033417383988996185,2.3964841222579025e-08,6.996816632831582e-05
29.200000000000003,0.002908770697950036,2.1804187788632134e-08,6.308549777811479e-05
29.60000000000001,0.002535591079997346,1.96228113757968e-08,5.6217820857629164e-05
30.0,0.002207014020404241,1.7399355289882124e-08,4.938818730071404e-05
30.400000000000006,0.0019123453524994005,1.515396830242821e-08,4.26096501073836e-05
30.799999999999997,0.0016437792335506352,1.2872422239240677e-08,3.588948321642249e-05
31.200000000000003,0.0013954304625642955,1.0551400198011152e-08,2.9231637363125174e-05
31.60000000000001,0.0011627239488705143,8.248216332162883e-09,2.2638204414171526e-05
32.0,0.0009419940517254588,5.9102616134509844e-09,1.6110113800316128e-05
32.400000000000006,0.0007302109162745651,3.555642891228672e-09,9.647850306215844e-06
32.8,0.0005247863615096549,1.1791074783218392e-09,3.251761382827567e-06
33.2,0.00032342952049990714,1.1833032331765025e-09,3.0776417112576837e-06
33.60000000000001,0.00012403369718239077,3.6092382416086366e-09,9.339607748515277e-06
34.0,7.541912223540947e-05,6.0441331939387055e-09,1.5532699235265568e-05
34.400000000000006,0.00027694503565189876,8.483698188399558e-09,2.165475947979445e-05
34.8,0.0004826453220845295,1.0894122937088468e-08,2.7702581957278483e-05
35.2,0.0006948017789527583,1.3358740780233802e-08,3.367173908053189e-05
35.60000000000001,0.0009159908449341003,1.5809709097425184e-08,3.955588576598501e-05
36.0,0.0011492288079941737,1.828201856568512e-08,4.5346424611736325e-05
36.400000000000006,0.0013981685122121945,2.0754212126661287e-08,5.103150830843006e-05
36.8,0.0016673774189497337,2.320857950266486e-08,5.659487545761621e-05
37.2,0.0019627475849759435,2.5641569312284673e-08,6.201401722227828e-05
37.60000000000001,0.0022921244350411207,2.7992582030123003e-08,6.725725118927883e-05
38.0,0.0026663112527294253,3.032897000210255e-08,7.22793171172853e-05
38.400000000000006,0.003100750305693456,3.2555784290622114e-08,7.701342385368903e-05
38.80000000000001,0.003618488901674155,3.4648051094876564e-08,8.135802220499144e-05
39.19999999999999,0.00425576254703941,3.649642854597346e-08,8.515158583177751e-05
39.599999999999994,0.005073380480641543,3.795952929763757e-08,8.812232948152143e-05
40.0,0.006182472951201667,3.875138920861332e-08,8.977691888745198e-05
40.400000000000006,0.00781138142105009,3.835487971670659e-08,8.912141793526729e-05
40.80000000000001,0.010517059360607206,3.5449968294187784e-08,8.382640130211172e-05
41.19999999999999,0.016077729736567292,2.6140108966288267e-08,6.70485940377219e-05
41.599999999999994,0.03225873937799917,4.527639374529713e-09,1.570277785578611e-05
42.0,0.03183777885036354,4.0496542230705757e-08,6.071189952350231e-05
42.400000000000006,0.01682127249304255,6.839696076177404e-08,0.00011747897848080058
42.80000000000001,0.011401875433311837,7.2504158232789e-08,0.00012579647627797286
43.19999999999999,0.00869581316749235,7.137986113292527e-08,0.0001239661393963587
43.599999999999994,0.007048958734401367,6.855761691682005e-08,0.00011900228065719887
44.0,0.005923641798969648,6.499379567870278e-08,0.00011283511191662043
44.400000000000006,0.005094522393100043,6.113097672511003e-08,0.00010616353129355716
44.80000000000001,0.0044503503660204835,5.70515390485582e-08,9.928533321712507e-05
45.19999999999999,0.00392965347917551,5.2848410980743665e-08,9.234113041767245e-05
45.599999999999994,0.003495557150859696,4.871723646715509e-08,8.540176360849472e-05
46.0,0.0031245108279942535,4.448916524069091e-08,7.850380301199777e-05
46.400000000000006,0.0028007067569828514,4.024673128100176e-08,7.166655425638879e-05
46.80000000000001,0.0025130939604700586,3.597673714494931e-08,6.489977211021625e-05
47.20000000000002,0.002253677029333545,3.1621589791086535e-08,5.820792558797194e-05
47.599999999999994,0.002016495700154941,2.7379339684330262e-08,5.159279374478132e-05
48.0,0.0017969866605609397,2.309781521603327e-08,4.505415850353245e-05
48.400000000000006,0.0015915677561961772,1.8789479305780787e-08,3.8591091314543746e-05
48.80000000000001,0.0013973590623148624,1.4472147036315164e-08,3.220225690370171e-05
49.20000000000002,0.0012119893982793783,1.0190020383049614e-08,2.588622027310805e-05
49.599999999999994,0.001033458284329214,5.829292604175862e-09,1.964146037014558e-05
50.0,0.0008600337341801989,1.4386865032633978e-09,1.3466822246677168e-05
50.400000000000006,0.0006901745958973748,2.9240387888762598e-09,7.3614605584637616e-06
