period,drL_Boris,drL_RK4,drL_SPPINN
644,8.15843973306311e-15,1.7997723170628992e-05,0.0006553146220247005
645,8.15843973306311e-15,1.802567116614159e-05,0.0011918543391857648
646,8.339738393797847e-15,1.8053619164373667e-05,0.0010345307142828068
647,8.339738393797847e-15,1.8081567166956915e-05,0.0017393952602617361
648,8.15843973306311e-15,1.8109515172803535e-05,0.0017202684933279515
649,8.339738393797847e-15,1.8137463183363923e-05,0.00213012141523661
650,8.883634376002054e-15,1.8165411197550283e-05,0.002602941529462242
651,8.521037054532582e-15,1.819335921536262e-05,0.0026111996292766983
652,8.15843973306311e-15,1.8221307237707417e-05,0.0034009823011087784
653,7.070647768654696e-15,1.824925526349689e-05,0.003345369622981023
654,7.433245090124167e-15,1.8277203292549744e-05,0.003959224562514557
655,7.070647768654696e-15,1.8305151325772464e-05,0.004292813754874661
656,6.708050447185224e-15,1.8333099362621157e-05,0.0044619463503860765
657,7.614543750858903e-15,1.836104740218933e-05,0.005213961183767466
658,7.251946429389432e-15,1.8388995445020878e-05,0.005132017041125867
659,6.88934910791996e-15,1.8416943492747493e-05,0.005858697602112198
660,7.251946429389432e-15,1.8444891544643973e-05,0.006001431117280028
661,6.88934910791996e-15,1.8472839600347727e-05,0.0063029455477564365
662,6.88934910791996e-15,1.8500787659858753e-05,0.006898510168551348
663,7.070647768654696e-15,1.8528735723358348e-05,0.0068025856971117545
664,7.795842411593639e-15,1.8556683789577427e-05,0.007533662914622583
665,7.795842411593639e-15,1.8584631860510268e-05,0.007465655301620917
666,7.614543750858903e-15,1.861257993506908e-05,0.007853148008288366
667,7.251946429389432e-15,1.8640528013979065e-05,0.008197528462762014
668,6.88934910791996e-15,1.8668476096152422e-05,0.008100217904319973
669,6.88934910791996e-15,1.8696424181589154e-05,0.008724839773192293
670,7.795842411593639e-15,1.872437227246485e-05,0.008459481448560858
671,7.795842411593639e-15,1.8752320366422622e-05,0.008875861250912387
672,7.614543750858903e-15,1.878026846309987e-05,0.008914591203307171
673,7.614543750858903e-15,1.88082165630405e-05,0.008827880007456917
674,7.977141072328375e-15,1.883616466805749e-05,0.009249033425653874
675,8.521037054532582e-15,1.886411277670045e-05,0.008828891021403962
676,7.977141072328375e-15,1.889206088842549e-05,0.009213809309979927
677,8.339738393797847e-15,1.8920009004864296e-05,0.00894184371505888
678,7.977141072328375e-15,1.8947957124747775e-05,0.008876872086687448
679,7.795842411593639e-15,1.8975905248619826e-05,0.009027040314178785
680,7.433245090124167e-15,1.9003853376299148e-05,0.008515971446926734
681,7.251946429389432e-15,1.9031801508329638e-05,0.00881311869073772
682,7.795842411593639e-15,1.9059749643442206e-05,0.008274955050963517
683,7.795842411593639e-15,1.908769778290594e-05,0.00824150842552278
684,7.795842411593639e-15,1.911564592581435e-05,0.008094870537329192
685,8.15843973306311e-15,1.9143594073255225e-05,0.007568372066900441
686,7.614543750858903e-15,1.917154222341558e-05,0.007732680091378718
687,7.251946429389432e-15,1.919949037738321e-05,0.007013817877360145
688,6.708050447185224e-15,1.9227438534976813e-05,0.007018927116234242
689,6.526751786450488e-15,1.9255386696921582e-05,0.006597137666968772
690,6.708050447185224e-15,1.9283334862673623e-05,0.006132328573692673
691,6.526751786450488e-15,1.9311283032232934e-05,0.006136814072903846
692,6.526751786450488e-15,1.933923120559952e-05,0.005348877067262913
693,6.1641544649810174e-15,1.9367179381322987e-05,0.005394678803226746
694,6.1641544649810174e-15,1.939512756194152e-05,0.004764261806601331
695,5.438959822042074e-15,1.942307574636732e-05,0.004430113114617192
696,4.895063839837867e-15,1.9451023934600396e-05,0.004271343705941736
697,4.713765179103131e-15,1.947897212664074e-05,0.003534184396739172
698,4.713765179103131e-15,1.9506920321763167e-05,0.0036159755432773515
699,3.625973214694716e-15,1.9534868521780655e-05,0.002877300838909669
700,4.351167857633659e-15,1.9562816725424114e-05,0.002725383871012215
701,5.0763625005726024e-15,1.9590764933056147e-05,0.002425931620591715
702,4.713765179103131e-15,1.9618713143951553e-05,0.0018499028092490242
703,4.532466518368395e-15,1.9646661358472935e-05,0.001955616478428541
704,4.895063839837867e-15,1.967460957625769e-05,0.0012256155991439697
705,4.532466518368395e-15,1.9702557798393614e-05,0.0012819807912726622
706,4.532466518368395e-15,1.9730506024155513e-05,0.0008883294921690315
707,4.532466518368395e-15,1.9758454253543383e-05,0.0005590275332344863
708,5.438959822042074e-15,1.978640248655723e-05,0.0006709234390671356
709,5.801557143511546e-15,1.981435072374094e-05,6.328528799865433e-05
710,5.801557143511546e-15,1.9842298965094523e-05,0.0003228129352694025
711,5.9828558042462816e-15,1.9870247209167587e-05,0.0001017950661114381
712,6.1641544649810174e-15,1.9898195457773114e-05,0.00013498776218917618
