period,dK_RK4,dPx_RK4,dK_Boris,dPx_Boris,dK_SP-PINN (frozen),dPx_SP-PINN (frozen),dK_SP-PINN (time-coord),dPx_SP-PINN (time-coord)
586,4.3432962435474565e-06,1.8421380048039282e-06,0.0004957950516661924,0.002658365442733235,0.00018862465076807666,1.5642293673678864e-06,5.9415778208560255e-06,2.7188516344978098e-06
589,4.373184174788491e-06,1.8569196140738597e-06,0.0004971841076750749,0.0025128149134927558,0.021468790186613518,1.6817615506869998e-06,1.0653112854974722e-05,1.385844292656202e-07
592,4.41849697874197e-06,2.188356502674793e-06,0.00040000515204274834,0.01263072770721907,2.259768454360156e-06,6.119872830723239e-09,3.2369464983972307e-06,2.5216570862518495e-06
595,4.403037984879177e-06,1.8716990328737637e-06,0.00023029240735272793,0.018785774710655456,0.02140404607277535,1.6361084846927554e-06,8.012926254075126e-06,7.139406068334964e-06
598,4.432859967096192e-06,1.886487114077795e-06,0.0004956421826260993,0.002735209414240991,0.0001870823569127822,1.6973543264242608e-06,2.465764093351197e-06,3.7836684987357927e-06
601,4.462747906330833e-06,1.901272939974774e-06,0.0004972197278121371,0.0024460863749851125,0.02147090042091726,1.6498770265549467e-06,1.327685347884966e-05,2.410749870396245e-06
604,4.508060637453681e-06,2.232714318983753e-06,0.00040527041874893754,0.012344929408678595,2.384756981110847e-06,1.7939583152326577e-08,5.26151196922342e-06,1.375468033826266e-05
607,4.492601682670738e-06,1.916059134687842e-06,0.00021407491737557294,0.019440400783743428,0.021401894673175548,1.6860695373210888e-06,1.4724981652669555e-05,5.443540606275832e-06
610,4.522423674657716e-06,1.9308450778243724e-06,0.0004954784022963565,0.002812830247042264,0.00018541736951771526,1.564597043035576e-06,4.144787570048436e-06,9.794152320274918e-07
613,4.552311620997784e-06,1.945633449906836e-06,0.0004972518842087936,0.0023797666435505516,0.021473110539912632,1.6998029692683048e-06,1.1049938167140283e-05,2.365694574679722e-06
616,4.597624276181378e-06,2.277069718781277e-06,0.00041024364880559716,0.012069408080052746,2.562398383143538e-06,3.1740680750402817e-08,2.2559034873470551e-07,6.038690818499504e-06
619,4.582165368027802e-06,1.9604158791874937e-06,0.00019686086988990326,0.02013427267531709,0.021399912170813273,1.6991840501301425e-06,1.192624627144312e-05,1.134063538632546e-06
622,4.611987364455672e-06,1.975206907145477e-06,0.0004953031074670378,0.0028912541717955875,0.00018386021826977128,1.6482861142641525e-06,5.491002623259078e-06,1.3678916888082426e-06
625,4.6418753161248105e-06,1.9899965590930435e-06,0.0004972808236907156,0.002313839139042262,0.02147527790810244,1.6791102759317056e-06,9.940489118065443e-06,1.4867343423041746e-06
628,4.6871878907062126e-06,2.321432724272654e-06,0.0004149427360671254,0.011803580902052246,2.5942766966879915e-06,2.380065655671615e-08,1.1789161928899006e-06,2.110043203717993e-06
